run_id,job_id,canonical,matched_alias,evidence_text,evidence_field,start_char,end_char,context_before,context_after,title,source,country,expected_skills,false_positive,reviewer_notes
75,36,Artificial Intelligence,ai,AI,description,15,17,Shift delivers , agents that transform insurers' most critical work. By combining deep industry ,Data Scientist: France,adzuna,fr,,,
75,37,Artificial Intelligence,ai,AI,description,128,130,"o shop. At Gorgias, we’re building the platform that makes this real: a unified "," agent that sells, supports, and re-engages customers across the entire journey.",Senior Data Scientist,adzuna,fr,,,
75,38,Artificial Intelligence,ia,IA,title,17,19,Data Scientist - ,,Data Scientist - IA,adzuna,fr,,,
75,38,C,C,C,description,155,156,innovant. Historiquement positionné sur le développement de son produit core en ,"/C++ , l'entreprise a amorcé il y a deux ans un virage stratégique majeur vers l",Data Scientist - IA,adzuna,fr,,,
75,38,C++,C++,C++,description,157,160,novant. Historiquement positionné sur le développement de son produit core en C/," , l'entreprise a amorcé il y a deux ans un virage stratégique majeur vers les t",Data Scientist - IA,adzuna,fr,,,
75,43,Artificial Intelligence,ia,IA,title,17,19,Data Scientist - ,,Data Scientist - IA,adzuna,fr,,,
75,45,Internet of Things,iot,IOT,description,419,422,"knowledge in Digital Transformation, Data Science, Cybersecurity, Industry 4.0, ", and all the Disruptive Technologies that we put at the service of every mark...,Lead Data Scientist,adzuna,fr,,,
75,49,Machine Learning,ml,ML,description,109,111, and understand raw data from products and related physics Propose Python-based , models for battery key parameters monitoring Implement time-series forecasting ,Data Scientist- Paris,adzuna,fr,,,
75,51,Artificial Intelligence,ia,IA,description,277,279,d’un grand groupe international. Vous contribuerez au développement de produits ," générative à fort impact métier autour de la création, l’analyse et l’optimisat",Senior Data Scientist GenAI,adzuna,fr,,,
75,51,Large Language Models,llm,LLM,description,490,493,glementé. Vos missions Concevoir et industrialiser des solutions basées sur les , et le...,Senior Data Scientist GenAI,adzuna,fr,,,
75,52,Artificial Intelligence,ai,AI,description,274,276," technologies across various domains of IT including Data, Web, Infrastructure, ",", and many others. Our expertise in IT solutions development and on-demand resou",Senior Data Scientist - Europe,adzuna,fr,,,
75,53,Machine Learning,ml,ML,description,211,213,"h suggestions, and improving conversion to hotel page visits. Manage end-to-end ", projects: problem definition → solution → testing → production → support. Work ,Senior Data Scientist (Search),adzuna,fr,,,
75,55,Chef,Chef,Chef,description,190,194,06/2026 Date de parution 13/07/2026 Localisation PARIS Intitulé long de l'offre , de projet Date limite de candidature 30/06/2026 Employeur ASP Nature du contrat,Data Scientist H/F,adzuna,fr,,,
75,56,Large Language Models,llm,LLM,title,15,18,DATA Scientist , (IT),DATA Scientist LLM (IT),adzuna,fr,,,
75,65,E-commerce,E-commerce,e-commerce,description,367,377,"ers, Ops) chez l'un de nos clients majeurs, un leader mondial du retail et de l'",. L’enjeu : Intervenir sur des projets stratégiques liés au Web et à l'E-commerc,Data Scientist H/F,adzuna,fr,,,
75,67,Artificial Intelligence,ia,IA,description,320,322,) s'est dotée d'une structure pour mettre en place l'Intelligence Artificielle (,") et l'innovation. Au sein de cette structure, une équipe dédiée aux application",Data Scientist H/F,adzuna,fr,,,
75,68,Artificial Intelligence,ai,AI,title,0,2,, Engineer / Data Scientist,AI Engineer / Data Scientist,adzuna,fr,,,
75,71,Chef,Chef,chef,description,56,60,Vos missions en quelques mots Placée sous l’autorité du ," de cellule, vous travaillerer en collaboration avec un data scientist expérimen",Data Scientist Confirmé(E),adzuna,fr,,,
75,71,Artificial Intelligence,ia,IA,description,188,190,avec un data scientist expérimenté sur les différents projets et problématiques , du Conseil d’État. Cela comprend : - Le projet de pseudonymisation IA - La clas,Data Scientist Confirmé(E),adzuna,fr,,,
75,75,Artificial Intelligence,ai,AI,description,78,80,"En tant que Data Scientist Senior Consultan t au sein de notre Practice Data, "," & Technology , tu interviens auprès d’acteurs majeurs (Retail, Luxe, Media, Ind",Data Scientist Senior Consultant,adzuna,fr,,,
75,78,Artificial Intelligence,ia,IA,description,240,242," des sujets à forte valeur ajoutée combinant Machine Learning, Deep Learning et "," Générative. L’objectif est de concevoir, développer et industrialiser des modèl",Data Scientist F/H,adzuna,fr,,,
75,80,Artificial Intelligence,ia,IA,description,327,329, la Direction Data. Rattaché au domaine Data Factory et intégré au train Data & ,", vous évoluerez dans un environnement Cloud AWS moderne, basé sur une architect",Data analyst / Data scientist,adzuna,fr,,,
75,80,AWS,AWS,AWS,description,374,377,"ctory et intégré au train Data & IA, vous évoluerez dans un environnement Cloud "," moderne, basé sur une architecture data de type comptoirs de données et microse",Data analyst / Data scientist,adzuna,fr,,,
75,87,Artificial Intelligence,ia,IA,title,26,28,Data Scientist & Référent ,,Data Scientist & Référent IA,adzuna,fr,,,
75,88,Artificial Intelligence,ai,AI,title,16,18,Data Scientist (, Engineer),Data Scientist (AI Engineer),adzuna,fr,,,
75,92,Chef,Chef,chef,description,472,476," mettre en œuvre cette vision, nous recherchons un talent polyvalent, à la fois ", de projet et développe...,Data scientist H/F,adzuna,fr,,,
75,94,Artificial Intelligence,ia,IA,description,27,29,Vous rejoignez des équipes ," dynamiques et plurielles issues de plusieurs directions d'Enedis, travaillant s",Data Scientist F/H,adzuna,fr,,,
75,96,Information Systems,système d'information,système d'information,description,192,213,'IT au coeur de la performance industrielle de la DPNT. Elle vise à refondre le ,", renforcer la cybersécurité et la gestion des données, et s'appuie sur quatre p",Data Scientist F/H,adzuna,fr,,,
75,96,Artificial Intelligence,ai,AI,description,454,456,industrialisation. La FARNum est organisé en 3 pôles : Affaires et projets FAST , IT Data Ops L'équipe Data OPS de la FARNum...,Data Scientist F/H,adzuna,fr,,,
75,110,Chef,Chef,Chef,title,0,4,, de Projet Data Scientist,Chef de Projet Data Scientist,adzuna,fr,,,
75,111,Artificial Intelligence,ia,IA,description,246,248,hnologiques innovants. Vous rejoindrez la direction de la Transformation Data & , du Groupe au sein du département « Stratégie et Transformation » et travaillere,Data Scientist h-f,adzuna,fr,,,
75,119,Artificial Intelligence,ia,IA,description,197,199,"u de compétences en Software, DevOps, Cloud, Agilité, Cybersécurité, Big Data & ",". En parallèle de leurs métiers, les collaborateurs du groupe KLANIK sont accomp",Data Scientist - Tabular Data H/F,adzuna,fr,,,
75,120,Artificial Intelligence,ai,AI,title,34,36,Data Scientist - Drug Discovery & ,,Data Scientist - Drug Discovery & AI,adzuna,fr,,,
75,121,Information Systems,système d'information,Système d'Information,description,370,391,Cette unité Data se situe dans la Direction de l'Innovation Technologique et du , (DITSI) et se compose d’une responsable et de trois Data Scientist junior (dont,Data Scientist Junior pour projet de recherche en psychiatrie,adzuna,fr,,,
75,126,Artificial Intelligence,ai,AI,title,26,28,Consultant Data Scientist/, Engineer,Consultant Data Scientist/AI Engineer,adzuna,fr,,,
75,128,Artificial Intelligence,ia,IA,description,486,488,lle. Le profil recherché est capable de naviguer entre la conception de modèles ,"/ML, la con...",Data Scientist // ML engineering (IT),adzuna,fr,,,
75,129,Machine Learning,ml,ML,description,424,426," réalisation de projets en Data Science - préparation de données, modélisation, "," Engineering et/ou déploiement - dans nos domaines d’intervention : RAG, ...",Lead Data Scientist (F/H),adzuna,fr,,,
75,129,Retrieval-Augmented Generation,rag,RAG,description,494,497,"lisation, ML Engineering et/ou déploiement - dans nos domaines d’intervention : ",", ...",Lead Data Scientist (F/H),adzuna,fr,,,
75,130,Artificial Intelligence,ia,IA,description,364,366,un projet innovant visant à développer un assistant virtuel intelligent « agent , » pour faciliter et optimiser l’analyse de données. Votre mission principale co,Alternance - Data Scientist (H/F),adzuna,fr,,,
75,132,Machine Learning,ml,ML,description,222,224,Scientist expérimenté qui sera amené à intervenir sur la conception des modèles , pour les cas d’usage identifiés en lien avec PO/BA des squads concernées ainsi ,Data Scientist Senior F/H,adzuna,fr,,,
75,134,Business Intelligence,bi,BI,title,22,24,Lead Data Scientist - , Prediction,Lead Data Scientist - BI Prediction,adzuna,fr,,,
75,136,Artificial Intelligence,ia,IA,description,449,451,ent de modèles de Machine Learning et d'optimisation - Création de workflows en , Générative et NLP pour des agents intelligents ...,Data Scientist Python Senior - Freelance,adzuna,fr,,,
75,136,Natural Language Processing,nlp,NLP,description,466,469, Machine Learning et d'optimisation - Création de workflows en IA Générative et , pour des agents intelligents ...,Data Scientist Python Senior - Freelance,adzuna,fr,,,
75,138,E-commerce,E-commerce,e-commerce,description,454,464,"ffiliés, 2 outlets, 2 magasins à l'international (Doha et New York) et son site "," - printemps.com -, le Printemps s'...",ALTERNANCE - Data scientist H/F,adzuna,fr,,,
75,143,Artificial Intelligence,ia,IA,description,90,92,rchons un Data Scientist Confirmé afin de rejoindre une équipe d'experts Data & , en charge de développer des solutions innovantes au service des métiers. Vous i,DATA SCIENTIST CONFIRMÉ H/F,adzuna,fr,,,
75,147,Artificial Intelligence,ia,IA,description,349,351,(HealthTech) dans le recrutement d'un(e) alternant(e) Data Scientist / Analyste ,. L'alternant(e) participera au développement et à l'optimisation de solutions d,Data Scientist - Santé Numérique (Alternance),adzuna,fr,,,
75,148,Artificial Intelligence,ia,IA,description,462,464,"l’accident, grâce à des fonctionnalités de prévention et d’un système d'alertes ", basé sur l'état de la route et le ...,Data scientist qui sauve des vies,adzuna,fr,,,
75,151,Artificial Intelligence,ia,IA,title,15,17,Data Scientist , F/H,Data Scientist IA F/H,adzuna,fr,,,
75,153,Artificial Intelligence,ia,IA,title,15,17,Data Scientist , F/H,Data Scientist IA F/H,adzuna,fr,,,
75,160,Artificial Intelligence,ia,IA,title,17,19,Data Scientist - , F/H,Data Scientist - IA F/H,adzuna,fr,,,
75,163,GCP,GCP,GCP,description,285,288," stratégique de digitalisation des points de vente, dans un environnement cloud ", / Vertex AI. Intégré(e) à une équipe Analytics dédiée à la conception et au dép,Data Scientist Senior H/F,adzuna,fr,,,
75,163,Artificial Intelligence,ai,AI,description,298,300,"de digitalisation des points de vente, dans un environnement cloud GCP / Vertex ",. Intégré(e) à une équipe Analytics dédiée à la conception et au déploiement de ,Data Scientist Senior H/F,adzuna,fr,,,
75,164,GCP,GCP,GCP,description,258,261," stratégique de digitalisation des points de vente, dans un environnement cloud ", / Vertex AI. Intégré(e) à une équipe Analytics dédiée à la conception et au dép,Data Scientist Senior (H/F),adzuna,fr,,,
75,164,Artificial Intelligence,ai,AI,description,271,273,"de digitalisation des points de vente, dans un environnement cloud GCP / Vertex ",. Intégré(e) à une équipe Analytics dédiée à la conception et au déploiement de ,Data Scientist Senior (H/F),adzuna,fr,,,
75,169,Artificial Intelligence,ia,IA,description,212,214,ider à améliorer leurs processus et leur quotidien. Mais également avec d'autre , LAB IT du groupe. Vous serez responsable de la mise en oeuvre de nouvelles tech,Stage - Data Scientist H/F,adzuna,fr,,,
75,171,Artificial Intelligence,ai,AI,title,15,17,Data Scientist , (F/H),Data Scientist AI (F/H),adzuna,fr,,,
75,171,SAP,SAP,SAP,description,87,90,s de AOSIS Qui sommes-nous ? Créée en 2010 à Toulouse par d’anciens consultants ,", AOSIS a initialement développé un catalogue de données sur SAP BW (fonctionnal",Data Scientist AI (F/H),adzuna,fr,,,
75,171,Business Intelligence,bi,BI,description,386,388,"ffre, en proposant dès 2012 du conseil et de l’intégration autour des solutions "," : SAP dans un premier temps, sur les solutions leaders du marché dans un deuxiè",Data Scientist AI (F/H),adzuna,fr,,,
75,177,Machine Learning,ml,ML,title,24,26,Senior Data Scientist / , Engineer,Senior Data Scientist / ML Engineer,adzuna,fr,,,
75,181,SAP,SAP,SAP,title,26,29,Développer Data Scientist , - Freelance,Développer Data Scientist SAP - Freelance,adzuna,fr,,,
75,181,Artificial Intelligence,ia,IA,description,490,492,"érence et transactionnelles, CDS Views, modèle BW/4HANA). Développer des agents ", (agent...,Développer Data Scientist SAP - Freelance,adzuna,fr,,,
75,182,Chef,Chef,chef,description,70,74,Vos missions en quelques mots Placées sous l’autorité hiérarchique du , de pôle lui-même rattaché aux chefs de section Investigations Numériques et de ,Expert en Investigations Numériques - Data Scientist,adzuna,fr,,,
75,186,Information Systems,système d'information,Système d'Information,description,164,185,partement : Paris ‎ Description du poste: ‎ Au sein de la Direction Générale du ," (DGSI), la Direction des Données et des Services Analytiques (DDSA), est en cha",Data Scientist Junior H/F,adzuna,fr,,,
75,188,Artificial Intelligence,ia,IA,description,246,248,hnologiques innovants. Vous rejoindrez la direction de la Transformation Data & , du Groupe au sein du département « Stratégie et Transformation » et travaillere,Data Scientist Sénior h-f,adzuna,fr,,,
75,190,Artificial Intelligence,ia,IA,description,38,40,Contexte Objectif global : Développer ," au sein du SOC Au sein de notre SOC, nous intégrons des technologies d'Intellig",Data scientist - SOC - N3 (IT),adzuna,fr,,,
75,190,Large Language Models,llm,LLM,description,380,383,"isé(e) dans l'entraînement, l'alignement et l'évaluation de Modèles de Langage (","/SLM) afin de concevoir des modèles souverains, ultra-spécialisés en cybersécuri",Data scientist - SOC - N3 (IT),adzuna,fr,,,
75,192,Machine Learning,ml,ML,description,181,183,"aming, Luxe, Télécoms, Finance, etc.), tu interviendras en tant que spécialiste ", & DL. Ta mission consistera à accompagner des experts métiers sur des problémat,Data Scientist – Machine Deep learning,adzuna,fr,,,
75,194,Artificial Intelligence,ai,AI,title,17,19,Data Scientist - , Engineer - HCM,Data Scientist - AI Engineer - HCM,adzuna,fr,,,
75,197,Artificial Intelligence,ia,IA,title,15,17,Data Scientist , H/F,Data Scientist IA H/F,adzuna,fr,,,
75,201,Artificial Intelligence,ia,IA,description,27,29,Au sein de l'équipe Data & ,", vous participerez au développement de modèles analytiques et prédictifs visant",Alternance - Data Scientist H/F,adzuna,fr,,,
75,202,Robotic Process Automation,rpa,RPA,description,290,293,"’expertises (data engineer, data scientist, devops, dev full stack, architecte, ",) mobilisées au quotidien dans le Build et le Run d’applications commercialisées,Stagiaire Data Scientist - Products Data (H/F),adzuna,fr,,,
75,210,Artificial Intelligence,ia,IA,title,18,20,Data Scientist et , H/F,Data Scientist et IA H/F,adzuna,fr,,,
75,213,Large Language Models,llm,LLM,title,38,41,Data Scientist confirmé - Orientation , - Freelance,Data Scientist confirmé - Orientation LLM - Freelance,adzuna,fr,,,
75,213,Artificial Intelligence,ia,IA,description,223,225,"tions métiers dans l’exploitation de la donnée, le développement de cas d’usage ", et l’automatisation de processus internes. L'équipe recherche un profil Data Sc,Data Scientist confirmé - Orientation LLM - Freelance,adzuna,fr,,,
75,214,Artificial Intelligence,ia,IA,title,27,29,Data Scientist - Ingénieur , F/H,Data Scientist - Ingénieur IA F/H,adzuna,fr,,,
75,215,Artificial Intelligence,ia,IA,title,10,12,Ingénieur , - Data Scientist H/F,Ingénieur IA - Data Scientist H/F,adzuna,fr,,,
75,216,Large Language Models,llm,LLM,description,275,278,es cas d'usage d'IA générative à fort impact métier. - Développer des workflows , avancés et orchestrer les différentes étapes des projets. - Collaborer étroitem,Data Scientist Confirmé / Expert H/F,adzuna,fr,,,
75,216,Artificial Intelligence,ia,IA,description,439,441,nt avec les équipes métier et IT pour définir et mettre en oeuvre des solutions , répondant aux besoins fonctionnels. - Optimiser les perfo...,Data Scientist Confirmé / Expert H/F,adzuna,fr,,,
75,218,Artificial Intelligence,ai,AI,title,32,34,Senior Data Scientist - Banking , - Freelance,Senior Data Scientist - Banking AI - Freelance,adzuna,fr,,,
75,219,E-commerce,E-commerce,e-commerce,description,472,482,"ffiliés, 2 outlets, 2 magasins à l'international (Doha et New York) et son site ", - printemps.com ...,Alternance : ALTERNANCE - Data scientist H/F,adzuna,fr,,,
75,220,Artificial Intelligence,ia,IA,title,10,12,Ingénieur , - Data Scientist (H/F),Ingénieur IA - Data Scientist (H/F),adzuna,fr,,,
75,221,Artificial Intelligence,ia,IA,description,41,43,Data Scientist Senior ? Recommandation & , ? Tremblay-en-France (93) Secteur : Privé - transport aérien Durée : 6 mois ren,Data scientist – Tremblay-en-France (93) (IT),adzuna,fr,,,
75,222,Large Language Models,llm,LLM,description,407,410,es cas d'usage d'IA générative à fort impact métier. - Développer des workflows , avancés et orchestrer les différentes étapes des projets. - Collaborer étroitem,Data Scientist Confirmé / Expert F/H,adzuna,fr,,,
75,223,Artificial Intelligence,ia,IA,title,0,2,, Engineer / Data Scientist GenAI (CDI),IA Engineer / Data Scientist GenAI (CDI),adzuna,fr,,,
75,223,Large Language Models,llm,LLM,description,254,257, à forte valeur métier. Vous interviendrez sur des projets innovants autour des ,", du RAG et des architectures IA modernes au sein d’équipes expertes. Vos missio",IA Engineer / Data Scientist GenAI (CDI),adzuna,fr,,,
75,223,Retrieval-Augmented Generation,rag,RAG,description,262,265," valeur métier. Vous interviendrez sur des projets innovants autour des LLM, du ", et des architectures IA modernes au sein d’équipes expertes. Vos missions Conce,IA Engineer / Data Scientist GenAI (CDI),adzuna,fr,,,
75,226,Chef,Chef,Chef,title,0,4,, de projet Data-Scientist F/H,Chef de projet Data-Scientist F/H,adzuna,fr,,,
75,227,Artificial Intelligence,ia,IA,description,280,282,"tal, notamment le numérique, les données (data) et l'intelligence artificielle (",). Ces éléments sont combinés pour favoriser une transition significative vers l,Stage : Stage - Data Scientist (F/H),adzuna,fr,,,
75,228,Artificial Intelligence,ai,AI,title,32,34,Senior Data Scientist - Banking , (IT),Senior Data Scientist - Banking AI (IT),adzuna,fr,,,
